,Review,Rating
0,night,4
1,seattl,2
2,going,3
3,stay,5
4,tell,5
5,reason,5
6,experienc,5
7,distanc,4
8,nearby,5
9,experienc,5
10,western,2
11,stay,4
12,popul,4
13,airport,3
14,fabul,4
15,know,1
16,hotel,2
17,choic,5
18,stay,5
19,visit,3
20,monac,5
21,com,5
22,stay,4
23,cent,5
24,friendly,2
25,helpful,3
26,day,4
27,competition,3
28,soon,4
29,staying,4
30,polit,4
31,opposit,4
32,loudly,1
33,andr,2
34,complaint,4
35,stay,4
36,fabul,4
37,recommend,5
38,downtown,4
39,remodeled,4
40,hotel,1
41,great,4
42,serv,2
43,necessary,4
44,wors,2
45,committing,2
46,gam,3
47,com,3
48,excellent,5
49,pip,5
50,she,5
51,market,4
52,com,5
53,stay,5
54,loung,3
55,try,5
56,meal,3
57,market,5
58,futur,5
59,experienc,5
60,lovely,4
61,weath,5
62,stay,5
63,inn,5
64,needed,4
65,horribl,1
66,away,5
67,stay,3
68,compromis,3
69,nightst,1
70,hotel,4
71,soon,2
72,beat,5
73,check,5
74,stay,4
75,seattl,5
76,away,1
77,hotel,1
78,stay,4
79,good,2
80,check,2
81,seattl,5
82,eleva,5
83,hotel,2
84,city,4
85,seattl,4
86,atmosph,5
87,room,4
88,hotel,1
89,rat,4
90,valet,4
91,den,5
92,ridicul,1
93,responsiv,4
94,tip,4
95,relaxing,4
96,friend,4
97,francisc,1
98,bargain,3
99,plac,1
100,stay,3
101,lik,1
102,lov,5
103,building,3
104,pric,3
105,seattl,4
106,sad,4
107,touch,5
108,room,5
109,belltown,3
110,stay,4
111,anybody,5
112,pric,4
113,seattl,4
114,graci,5
115,enjoy,4
116,staying,5
117,location,5
118,bett,4
119,peopl,4
120,privacy,4
121,surfac,5
122,court,4
123,day,5
124,serv,4
125,park,5
126,skill,3
127,building,5
128,breakfast,4
129,downtown,4
130,staff,3
131,stop,4
132,uncomfortabl,4
133,fanstastic,3
134,seattl,1
135,money,3
136,definitely,3
137,edg,4
138,sleepbefor,3
139,are,3
140,dissapointed,1
141,advantag,1
142,cent,3
143,afford,4
144,stay,3
145,car,4
146,hotel,4
147,awesom,5
148,check,5
149,visit,5
150,hotel,4
151,anytim,5
152,pric,5
153,serv,1
154,fin,3
155,definitely,2
156,friendly,1
157,awesom,5
158,townche,2
159,plac,4
160,hotel,1
161,do,5
162,location,3
163,staff,2
164,overnight,4
165,seattl,3
166,disappointing,2
167,day,4
168,breakfast,3
169,stay,4
170,travel,4
171,good,3
172,hotel,4
173,alask,4
174,away,1
175,ok,4
176,day,1
177,deal,4
178,stay,4
179,hotel,2
180,deal,4
181,hotel,1
182,stay,2
183,stay,4
184,stay,5
185,weekend,5
186,questiom,4
187,expressway,3
188,walking,3
189,car,2
190,air,2
191,worth,2
192,tim,2
193,stayed,4
194,impressiv,3
195,nicely,4
196,received,1
197,hilton,1
198,slept,5
199,booking,3
200,staying,1
201,location,3
202,zer,2
203,overnight,5
204,room,4
205,downsid,4
206,town,3
207,hotel,2
208,seattl,3
209,book,3
210,forth,2
211,night,1
212,way,5
213,stay,5
214,stay,4
215,stay,3
216,internet,4
217,hotel,4
218,transport,5
219,tim,3
220,luck,5
221,product,5
222,pp,5
223,stay,5
224,room,4
225,stay,5
226,hotel,4
227,are,5
228,hotel,5
229,stay,5
230,bar,4
231,upset,1
232,suggestiom,5
233,pric,2
234,chril,3
235,money,4
236,danger,4
237,st,4
238,room,3
239,custom,4
240,stay,5
241,awesom,4
242,hotel,4
243,day,1
244,profess,5
245,plac,4
246,restaurant,5
247,return,5
248,hotel,2
249,hill,3
250,trip,2
251,reccommend,4
252,stay,3
253,motel,3
254,monorail,4
255,everyday,1
256,stay,3
257,stayed,1
258,seattl,4
259,management,2
260,portiom,4
261,earplug,2
262,seattl,2
263,certainly,4
264,bit,3
265,hotel,2
266,point,5
267,seattl,5
268,worth,3
269,lost,2
270,morning,5
271,stay,5
272,happy,5
273,seattl,4
274,hotel,4
275,room,4
276,tmobil,4
277,good,4
278,dec,5
279,flawles,5
280,good,4
281,drink,4
282,expensiv,3
283,food,2
284,tim,4
285,nobrain,2
286,hesitation,5
287,stay,5
288,seattl,5
289,got,4
290,location,2
291,stay,4
292,bett,1
293,hour,4
294,seattl,1
295,car,4
296,edgewat,1
297,tidy,4
298,seattl,5
299,bett,3
300,money,2
301,hour,5
302,view,2
303,market,5
304,pick,5
305,wat,5
306,got,4
307,someday,5
308,try,3
309,restraunt,3
310,seattl,1
311,possibl,1
312,stay,2
313,hotel,5
314,holiday,5
315,relativ,4
316,tim,5
317,think,4
318,gloomy,3
319,enjoyabl,5
320,nt,2
321,market,2
322,hall,3
323,stay,1
324,positiv,5
325,report,4
326,feel,3
327,market,1
328,seattl,3
329,seattl,5
330,soon,1
331,room,4
332,friendly,2
333,hotel,1
334,ball,2
335,march,2
336,really,1
337,valet,4
338,stop,4
339,stay,4
340,quickly,4
341,comment,4
342,instead,1
343,nt,1
344,right,3
345,location,3
346,court,2
347,room,3
348,intolerabl,1
349,money,1
350,nt,5
351,fat,5
352,stay,4
353,seattl,5
354,downtown,4
355,hotel,5
356,staff,5
357,positiv,4
358,recommend,5
359,pric,2
